id,Prompt,Who made it,Category,"Green indicates generated; if not green, please generate.",C,Human
83,A fighter jet breaking the sound barrier,Whitfield,Instrument,A glider soaring silently in the sky,,
84,A hawk flapping its wings powerfully,Hijazi,Animal,A horse sprinting across a beach,,
85,A river rapidly flooding a valley,Hijazi,Nature,A caterpillar transforming into a butterfly,,
86,A whale tail slapping the ocean surface,Louque,Animal,A rocket booster separating mid-flight,,
87,A glacier calving into the sea,Louque,Nature,A falcon chasing a pigeon,,
88,A tornado lifting debris into the air,Louque,Nature,A tornado swirling dust and debris,,
89,A gazelle bounding over the grasslands,Louque,Animal,A spider scuttling quickly across leaves,,
90,A storm cloud swirling violently,Louque,Nature,A racecar making a tight turn,,
91,A thunderstorm rolling over mountains,Louque,Nature,A bumblebee buzzing between flowers,,
92,A tornado touching down in a field,Whitfield ,Nature,A glacier moving slowly but powerfully,,
93,A comet blazing through space,Whitfield,Nature,A surfer cutting sharply on a wave,,
94,A condor soaring over mountains,Whitfield,Animal,A dragonfly skimming over water,,
95,A surfer cutting sharply on a wave,Hijazi,Human,A hawk flapping its wings powerfully,,
96,A caterpillar transforming into a butterfly,Hijazi,Animal,A shark breaching to catch a seal,,
97,A horse sprinting across a beach,Hijazi,Animal,A waterfall cascading into a pool,,
98,A glacier moving slowly but powerfully,Hijazi,Nature,A rocket landing vertically on a platform,,
99,A spider scuttling quickly across leaves,Hijazi,Animal,A snow leopard sprinting up a rocky slope,,
100,A glider soaring silently in the sky,Hijazi,Instrument,,,
101,A meteor blazing through the atmosphere,Hijazi,Nature,,,
102,A panther stalking silently through the jungle,Hijazi,Animal,,,
103,A helicopter lifting off from a helipad,Whitfield,Instrument,,,
104,A lava flow creeping down a mountainside,Whitfield,Nature,,,
105,A peregrine falcon swooping toward the ground,Whitfield,Animal,,,
106,A boxer dodging a punch and countering in slow motion,Whitfield,Human,,,
107,A sprinter exploding out of the starting blocks,Whitfield,Human,,,
108,A marathon runner pushing through exhaustion,Lao,Human,,,
109,A track runner crossing the finish line in victory,Lao,Human,,,
110,A rock climber hanging by one hand on a cliff face,Lao,Human,,,
111,A breakdancer spinning on their head under neon lights,Whitfield,Human,,,
112,A martial artist delivering a flying kick midair,Lao,Human,,,
